qual,avg_expr,introns,intronsize,exonsize,avgintronsize
T20B3.7,8,3,655,720,218.33
T20D3.2,100.57,6,1047,705,174.50
T20D3.5,6,4,310,666,77.50
T20D3.6,21,2,128,435,64.00
T20D3.8,27.71,4,233,930,58.25
T20D4.16,3,1,131,171,131.00
T20D4.19,2,1,360,420,360.00
T20F10.1,14,10,3001,2727,300.10
T20F10.2,16.83,5,1229,849,245.80
T20F5.2,61.25,3,160,609,53.33
T20F5.3,5.2,6,1688,1110,281.33
T20F5.4,134,6,1384,1002,230.67
T20F5.6,10.33,9,2136,2436,237.33
T20F7.1,9,3,652,741,217.33
T20F7.6,20,9,1660,1437,184.44
T20G5.1,16,9,507,5046,56.33
T20G5.10,6.4,3,395,390,131.67
T20G5.2,206.13,3,161,1407,53.67
T20G5.3,20,18,1211,9156,67.28
T20G5.7,108.63,1,58,183,58.00
T20G5.8,7,1,50,183,50.00
T20G5.9,19.14,3,450,690,150.00
T20H4.3,23.86,4,326,1746,81.50
T20H4.4,14.43,3,175,1104,58.33
T20H4.5,89.43,3,347,639,115.67
T21B10.1,12.5,2,103,858,51.50
T21B10.2,139.25,2,205,1305,102.50
T21B10.3,5,11,837,3399,76.09
T21B10.4,16.5,6,294,1257,49.00
T21B10.5,15,3,148,729,49.33
T21B10.6,8,6,3607,1101,601.17
T21B4.2,80,2,360,939,180.00
T21B6.1,15.5,4,531,1755,132.75
T21B6.3,16,6,1081,2367,180.17
T21C12.1,14.5,21,8307,3321,395.57
T21C12.2,57.71,2,778,1182,389.00
T21C12.3,4,2,398,519,199.00
T21C12.4,4,6,1416,864,236.00
T21C9.1,10,5,487,882,97.40
T21C9.12,13.6,7,1318,1359,188.29
T21C9.13,25.5,2,101,786,50.50
T21C9.4,24,2,120,312,60.00
T21C9.5,76.13,2,839,396,419.50
T21C9.6,3,13,1521,3648,117.00
T21C9.8,5.67,2,226,426,113.00
T21D12.12,18,4,1277,552,319.25
T21D12.2,60.33,3,777,930,259.00
T21D12.4,20.67,6,1100,1128,183.33
T21E3.3,14,9,1588,6543,176.44
T21G5.4,34,2,96,825,48.00
T21H3.1,214.57,3,1189,918,396.33
T21H3.2,5,7,2912,2646,416.00
T21H3.3,13.5,3,441,450,147.00
T21H8.1,17.75,15,4153,3081,276.87
T22A3.2,24,1,591,330,591.00
T22A3.3,15.5,5,683,1257,136.60
T22A3.4,17.17,6,1534,1506,255.67
T22A3.5,3,10,5286,2373,528.60
T22B11.4,13.5,5,1630,1662,326.00
T22B11.5,68.33,7,3560,3117,508.57
T22B2.4,39,5,1816,747,363.20
T22B2.6,20,1,65,438,65.00
T22B7.2,67,2,200,465,100.00
T22B7.3,20,2,185,423,92.50
T22B7.4,7.5,6,981,1614,163.50
T22C1.1,9,5,412,1251,82.40
T22C1.10,5.67,11,6325,3924,575.00
T22C1.11,6.5,3,160,1083,53.33
T22C1.3,12.43,4,528,981,132.00
T22C1.4,8,2,132,291,66.00
T22C1.6,24,5,1328,1041,265.60
T22C1.9,5,2,384,573,192.00
T22C8.3,5,4,477,960,119.25
T22C8.4,5,3,197,918,65.67
T22C8.8,26.25,3,435,756,145.00
T22D1.10,17.43,6,783,1347,130.50
T22D1.3,9,7,1846,1500,263.71
T22D1.4,26.86,4,561,1827,140.25
T22D1.5,23.75,5,256,1176,51.20
T22D1.9,21.14,6,335,2946,55.83
T22E5.5,150.33,5,302,1218,60.40
T22F3.11,15,3,485,1221,161.67
T22F3.2,8.4,7,980,1131,140.00
T22F3.4,99.88,2,103,591,51.50
T22F3.5,4,2,1217,993,608.50
T22F7.4,9,4,1536,861,384.00
T22G5.1,3.33,2,139,978,69.50
T22G5.2,48.4,1,147,414,147.00
T22G5.5,8,9,1058,1584,117.56
T22G5.7,35.5,1,47,321,47.00
T22H2.4,4,0,0,276,0.00
T22H6.2,8.2,8,2202,2403,275.25
T23B12.1,10.5,4,206,705,51.50
T23B12.2,7.67,2,672,900,336.00
T23B12.3,22.57,3,552,795,184.00
T23B12.4,4,6,389,2445,64.83
T23B12.6,14,7,667,2013,95.29
T23B12.7,8,1,47,891,47.00
T23B12.8,17,1,51,300,51.00
