qual,avg_expr,introns,intronsize,exonsize,avgintronsize
ZK1128.4,11.88,5,639,1038,127.80
ZK1128.5,14,5,608,1341,121.60
ZK1128.6,9.6,9,3120,1923,346.67
ZK1151.3,23.4,1,280,6060,280.00
ZK1225.6,9,0,0,324,0.00
ZK1236.2,17.4,3,1017,915,339.00
ZK1236.3,14.43,7,3209,3003,458.43
ZK1236.5,15.5,7,794,942,113.43
ZK1236.6,14.75,2,370,621,185.00
ZK1236.7,3,2,657,726,328.50
ZK1248.10,4,10,790,2571,79.00
ZK1248.11,7,2,253,606,126.50
ZK1248.12,4.33,4,572,747,143.00
ZK1248.14,7.6,7,350,2325,50.00
ZK1248.16,42,6,670,1002,111.67
ZK1248.2,249,1,59,876,59.00
ZK1248.3,20,6,453,2256,75.50
ZK1248.6,77.67,0,0,384,0.00
ZK1251.3,4,1,50,762,50.00
ZK1251.6,306.75,0,0,384,0.00
ZK1290.12,39.5,4,511,1455,127.75
ZK1290.4,10.5,18,4991,3081,277.28
ZK1290.5,10.67,1,53,1131,53.00
ZK1290.8,65.67,3,180,777,60.00
ZK1307.1,102.29,4,269,840,67.25
ZK1307.5,10,3,222,1071,74.00
ZK1307.6,22,5,1331,2109,266.20
ZK1307.9,10.5,3,293,1110,97.67
ZK131.1,25.17,0,0,312,0.00
ZK131.2,21,0,0,411,0.00
ZK131.5,56.83,0,0,369,0.00
ZK131.6,51.88,0,0,384,0.00
ZK1320.1,8,2,237,681,118.50
ZK1320.10,17,2,1641,405,820.50
ZK1320.2,75.67,5,433,627,86.60
ZK1320.3,77.67,5,514,627,102.80
ZK1320.4,6.33,5,639,1635,127.80
ZK1320.6,12,4,489,1674,122.25
ZK1320.7,7,12,2295,3153,191.25
ZK1320.9,19.86,7,1067,1419,152.43
ZK1321.3,45.43,5,417,843,83.40
ZK154.1,36.75,5,2500,762,500.00
ZK154.4,6,3,956,381,318.67
ZK154.5,5,7,1252,3522,178.86
ZK177.2,5,2,97,891,48.50
ZK177.4,3.5,12,1009,1923,84.08
ZK177.5,3,7,578,1287,82.57
ZK177.6,16.67,5,278,1011,55.60
ZK180.3,17.5,6,1124,1569,187.33
ZK180.4,39.29,4,361,582,90.25
ZK180.5,90.5,3,203,1629,67.67
ZK180.6,50,9,2374,2157,263.78
ZK20.3,20.29,4,277,1119,69.25
ZK20.4,3,2,1204,750,602.00
ZK20.5,42.17,4,222,753,55.50
ZK218.1,5,2,98,738,49.00
ZK228.7,4,3,688,990,229.33
ZK265.2,170.5,1,51,1146,51.00
ZK265.3,4,2,348,1023,174.00
ZK265.5,16,16,3378,1956,211.13
ZK265.6,15.33,3,290,570,96.67
ZK287.1,19.67,5,1462,1494,292.40
ZK287.2,3,3,768,1836,256.00
ZK287.3,27,1,408,309,408.00
ZK287.5,30.86,2,239,333,119.50
ZK287.6,3.67,3,161,834,53.67
ZK287.7,4,3,412,1212,137.33
ZK328.1,5,11,1103,3126,100.27
ZK328.3,16.57,7,1467,1725,209.57
ZK328.4,3.67,4,746,1404,186.50
ZK353.1,4.75,11,4219,1647,383.55
ZK353.8,21.57,4,196,1410,49.00
ZK370.2,4,2,797,441,398.50
ZK377.3,5,5,1744,1272,348.80
ZK381.1,5,3,141,876,47.00
ZK381.4,10,8,402,2316,50.25
ZK381.5,17,3,613,1017,204.33
ZK39.8,7,3,1387,681,462.33
ZK402.1,35.4,3,1048,789,349.33
ZK402.2,16.5,1,46,330,46.00
ZK418.4,14,3,539,714,179.67
ZK418.5,85.25,4,358,651,89.50
ZK418.7,4,6,524,1200,87.33
ZK418.9,23.29,8,2308,2307,288.50
ZK430.1,11,7,2348,4953,335.43
ZK430.2,19.33,3,951,960,317.00
ZK430.3,11.67,4,800,537,200.00
ZK430.6,3,1,1003,330,1003.00
ZK430.7,16,4,942,1335,235.50
ZK455.1,38.86,7,637,2664,91.00
ZK455.4,4,10,1398,1719,139.80
ZK470.5,14.67,8,3201,1332,400.13
ZK484.1,153.75,1,116,243,116.00
ZK484.2,22.83,15,1611,2436,107.40
ZK484.3,25.33,3,314,999,104.67
ZK484.4,6.5,12,3102,2415,258.50
ZK484.5,45.33,0,0,300,0.00
ZK484.8,64.25,0,0,213,0.00
ZK507.4,3,4,1180,699,295.00
ZK507.6,22.5,5,501,1458,100.20
ZK512.1,9,8,1619,999,202.38
ZK512.2,7,5,1149,1737,229.80
ZK512.4,56.63,1,318,231,318.00
ZK512.5,12.25,13,991,3699,76.23
ZK512.7,23.6,1,119,426,119.00
ZK520.2,2,3,1198,774,399.33
ZK520.4,12,8,2224,2238,278.00
ZK525.1,24.8,2,3996,264,1998.00
ZK525.2,24.43,5,537,873,107.40
ZK546.1,8,8,711,2319,88.88
ZK546.11,4,1,440,642,440.00
ZK546.13,12,8,3255,1812,406.88
ZK546.15,7,3,212,996,70.67
ZK546.5,4,8,442,1941,55.25
ZK546.6,173.25,0,0,384,0.00
ZK550.3,19.8,17,2192,2463,128.94
ZK563.5,12.5,5,990,726,198.00
ZK593.1,6.67,5,1449,1542,289.80
ZK593.3,25,1,509,444,509.00
ZK593.4,18.75,9,1809,4293,201.00
ZK593.5,27.8,12,2369,3837,197.42
ZK593.6,26,2,673,393,336.50
ZK593.7,33,3,275,315,91.67
ZK593.8,7.67,5,785,1554,157.00
ZK617.2,57.5,3,348,1035,116.00
ZK622.2,6.5,14,5538,2292,395.57
ZK632.10,68.13,2,265,243,132.50
ZK632.11,6.33,7,347,1362,49.57
ZK632.12,13.83,4,628,801,157.00
ZK632.13,37,2,104,486,52.00
ZK632.2,5.5,4,1050,2133,262.50
ZK632.3,21.29,4,993,1533,248.25
ZK632.4,14.88,4,515,1236,128.75
ZK632.5,7.33,12,1542,2475,128.50
ZK632.6,19.14,5,643,1860,128.60
ZK632.7,2,10,1769,2031,176.90
ZK632.8,12.14,3,191,537,63.67
ZK632.9,178.88,1,51,360,51.00
ZK637.11,10.67,2,445,951,222.50
ZK637.13,87.29,1,300,480,300.00
ZK637.14,7,2,146,486,73.00
ZK637.2,28.83,1,116,333,116.00
ZK637.3,36.14,7,1854,1800,264.86
ZK637.5,31.57,3,390,1029,130.00
ZK643.2,12.38,1,410,594,410.00
ZK643.5,17,3,1720,1512,573.33
ZK652.1,65.86,2,161,258,80.50
ZK652.2,86.38,1,261,177,261.00
ZK652.3,44.29,1,72,285,72.00
ZK652.4,746.25,1,55,372,55.00
ZK652.6,6.67,8,1182,1744,147.75
ZK652.9,5,8,926,1707,115.75
ZK662.2,39,4,553,669,138.25
ZK666.6,15.67,5,455,1221,91.00
ZK666.7,17.33,6,533,1212,88.83
ZK669.4,19.5,9,969,1347,107.67
ZK669.5,15,4,587,666,146.75
ZK673.10,11,0,0,429,0.00
ZK673.2,16.71,4,936,669,234.00
ZK673.3,5,3,210,969,70.00
ZK673.7,15.86,4,696,483,174.00
ZK675.4,58,2,100,591,50.00
ZK678.5,9.4,8,3367,1446,420.88
ZK686.3,56.86,2,230,996,115.00
ZK686.4,4.67,4,2129,1224,532.25
ZK688.2,8.5,7,1316,1899,188.00
ZK688.5,9.5,16,3386,5400,211.63
ZK688.6,23.57,7,852,1524,121.71
ZK721.2,149.5,6,1516,921,252.67
ZK75.2,39,1,326,321,326.00
ZK770.3,26.43,4,2170,1227,542.50
ZK783.2,27.57,11,3628,2154,329.82
ZK783.4,7,9,2563,4293,284.78
ZK792.2,5,4,887,1569,221.75
ZK792.5,5.33,5,1158,1893,231.60
ZK792.6,20.57,3,1483,555,494.33
ZK792.7,5,3,711,747,237.00
ZK795.3,17.5,4,341,879,85.25
ZK809.3,98.75,5,282,633,56.40
ZK809.4,8.33,4,385,1386,96.25
ZK809.5,15,7,654,2241,93.43
ZK813.1,157.25,2,154,492,77.00
ZK813.2,31.33,0,0,366,0.00
ZK813.3,115.75,2,132,615,66.00
ZK816.2,11,7,1260,1089,180.00
ZK816.5,5,5,607,978,121.40
ZK822.1,41,7,822,2646,117.43
ZK822.2,29.43,3,1945,903,648.33
ZK822.3,11,8,1277,1983,159.63
ZK822.4,13,9,893,1338,99.22
ZK822.5,6.75,6,1368,1734,228.00
ZK829.4,402.75,3,358,1611,119.33
ZK829.7,14.86,3,176,1119,58.67
ZK829.9,28.33,4,220,1479,55.00
ZK836.1,20.5,1,86,975,86.00
ZK836.2,9.14,9,5536,2721,615.11
ZK84.1,110.57,3,168,2406,56.00
ZK84.3,28,1,80,273,80.00
ZK856.10,2,2,102,720,51.00
ZK856.11,11.86,3,346,528,115.33
ZK856.5,10,2,494,495,247.00
ZK856.7,29.5,1,48,366,48.00
ZK856.8,11.67,3,178,588,59.33
ZK856.9,17.5,13,847,4476,65.15
ZK858.2,5,4,482,768,120.50
ZK858.3,19,2,114,678,57.00
ZK858.4,12.8,5,1360,1350,272.00
ZK858.5,4.4,9,1418,1110,157.56
ZK858.6,14.33,10,4870,1971,487.00
ZK858.7,13.75,7,976,1422,139.43
ZK863.3,6.2,4,191,1665,47.75
ZK863.4,7.5,9,460,1989,51.11
ZK863.7,17.67,7,986,918,140.86
ZK867.1,20,7,4356,1485,622.29
ZK892.1,32.6,8,7734,858,966.75
ZK892.2,65.75,2,345,357,172.50
ZK896.7,24,7,1890,1143,270.00
ZK899.2,22.5,5,359,1359,71.80
ZK899.4,9.33,11,1319,1347,119.91
ZK909.3,16.33,3,1280,645,426.67
ZK909.5,3,0,0,987,0.00
ZK930.1,23.5,13,2918,4065,224.46
ZK930.2,6,3,2750,915,916.67
ZK930.6,5,4,667,771,166.75
ZK938.2,17.5,2,92,1023,46.00
ZK938.5,2,8,634,1497,79.25
ZK945.1,12.5,4,2401,1422,600.25
ZK945.2,10,2,98,783,49.00
ZK945.3,21.57,5,252,2301,50.40
ZK945.7,20,3,139,750,46.33
ZK945.9,4,18,2210,6990,122.78
ZK970.2,10.25,4,1346,621,336.50
ZK970.3,19,3,153,474,51.00
ZK970.4,180.13,3,152,366,50.67
