Ensembl ID,Entrez ID,Control Gene Expression,Cancer Gene Expression
ENSG00000197056,79830,296.7586207,442.2777778
ENSG00000146463,9202,1461.551724,1817.527778
ENSG00000020129,23154,750.3448276,729.0833333
ENSG00000116819,339488,44.55172414,63.72222222
ENSG00000134698,192670,1330.206897,1587.027778
ENSG00000092847,26523,1313.310345,1463.055556
ENSG00000126070,192669,446.3103448,380.5555556
ENSG00000092850,27285,20.51724138,49.08333333
ENSG00000116863,54936,611.862069,865.3888889
ENSG00000116871,55700,3785.172414,3312.638889
ENSG00000054118,9967,5088.758621,5320.166667
ENSG00000214193,79729,276.7241379,588.1666667
ENSG00000163874,80149,2651.62069,1730.083333
ENSG00000163879,7802,267.9655172,223.7777778
ENSG00000134690,55143,130.2758621,502.9444444
ENSG00000185090,149175,171.1724138,463.8888889
ENSG00000197982,127687,978.6551724,1285.25
ENSG00000183520,51118,1005.689655,1204.138889
ENSG00000174574,79647,2402.551724,2374.527778
ENSG00000168653,4725,2717.517241,4555.722222
ENSG00000127603,23499,6291.896552,4851.055556
ENSG00000183682,353500,11.93103448,20.80555556
ENSG00000084072,10450,1089.517241,1489.833333
ENSG00000168389,84879,965.2758621,1150.888889
ENSG00000131236,10487,8896.586207,9949.055556
ENSG00000117000,6018,877.6896552,1081.777778
ENSG00000188800,127391,1.551724138,1.333333333
ENSG00000084073,10269,1665.103448,1878.805556
ENSG00000084070,64744,2803.827586,1224.027778
ENSG00000187801,65243,43,86.08333333
ENSG00000187815,339559,140.8965517,203.3055556
ENSG00000164002,64789,215.3103448,282.3611111
ENSG00000117010,127396,105.9310345,128.5833333
ENSG00000066136,4802,1213.965517,1328.194444
ENSG00000207962,407031,1.103448276,0.944444444
ENSG00000117013,9132,135.2758621,37.38888889
ENSG00000171793,1503,958.862069,1402.611111
ENSG00000044012,2981,0.344827586,0.333333333
ENSG00000177181,284716,17.17241379,54.52777778
ENSG00000127125,79717,1507.758621,1830.583333
ENSG00000186409,728621,142.4827586,179.2777778
ENSG00000171960,10465,515.2413793,761.5277778
ENSG00000065978,4904,14041.27586,17606.05556
ENSG00000164008,79078,224.862069,292.5555556
ENSG00000164010,114625,553.3793103,553.3055556
ENSG00000164011,51058,187.6206897,275.4166667
ENSG00000186973,440585,70.27586207,175.8611111
ENSG00000243710,149465,20.89655172,24.75
ENSG00000179178,128218,188.137931,318.9444444
ENSG00000066056,7075,1125.482759,385.0277778
ENSG00000117400,4352,6.482758621,3.583333333
ENSG00000117399,991,239,1106.027778
ENSG00000198198,23334,1777.413793,1958.722222
ENSG00000142949,5792,8145.965517,13025.61111
ENSG00000066135,9682,1413.931034,2031.444444
ENSG00000126091,6487,389.7241379,211.0277778
ENSG00000117407,9048,96.79310345,119.8611111
ENSG00000117408,9670,783.862069,964.8888889
ENSG00000132768,1802,609.8965517,947
ENSG00000117410,533,2226.896552,3602.805556
ENSG00000117411,8704,983.8275862,1295.527778
ENSG00000159214,149473,442.2413793,770.1666667
ENSG00000171872,128209,28.93103448,1.277777778
ENSG00000178028,55929,1321.586207,1865.777778
ENSG00000187147,55182,1607.655172,1819.722222
ENSG00000198520,339541,97.86206897,66.75
ENSG00000142945,11004,170.2758621,823.7222222
ENSG00000142937,6202,30957.31034,39271.16667
ENSG00000264294,26811,0,0
ENSG00000173846,1263,1494.931034,802.1944444
ENSG00000222009,149478,924.5172414,411
ENSG00000126088,7389,1208.586207,1408.5
ENSG00000186603,84842,20.4137931,70.25
ENSG00000132773,114034,370.5862069,350.2777778
ENSG00000132763,25974,129.3103448,217.8333333
ENSG00000117448,10327,2111.275862,3096
ENSG00000132780,4678,3516.655172,5191.722222
ENSG00000159596,51249,573.5172414,864.5
ENSG00000086015,23139,1643.689655,1655.416667
ENSG00000117472,10103,4669.586207,2964.388889
ENSG00000171357,541468,128,63.22222222
ENSG00000085999,8438,81.89655172,385.0833333
ENSG00000173660,7388,3182,5940.055556
ENSG00000117481,387338,838.2068966,1066.555556
ENSG00000117480,2166,900.137931,1334.5
ENSG00000197587,127343,30.44827586,67.88888889
ENSG00000186118,374973,1.379310345,4.222222222
ENSG00000142973,1580,4448.827586,6198.75
ENSG00000186377,260293,221.1034483,412.3055556
ENSG00000186160,199974,29.10344828,46.58333333
ENSG00000162365,284541,3.827586207,5.666666667
ENSG00000162368,51727,4512.37931,4251.166667
ENSG00000186790,2301,1.206896552,3.305555556
ENSG00000186564,2306,22,50.44444444
ENSG00000117834,200010,18.48275862,4.916666667
ENSG00000162374,1996,15.34482759,175.8055556
ENSG00000123080,1031,350.4137931,586.5833333
ENSG00000204006,284546,0.137931034,0.138888889
ENSG00000123091,26994,3448.724138,3545.527778
ENSG00000117859,114883,2167.896552,2789.388889
ENSG00000134717,91408,1598.310345,2479.194444
ENSG00000157077,9372,787.7586207,916.0833333
ENSG00000134748,84950,1053.724138,1356.555556
ENSG00000116157,2882,284.1034483,318.5
ENSG00000182183,348378,62.03448276,21
ENSG00000162378,79699,1353.137931,1503.916667
ENSG00000203995,440590,19.65517241,158.8888889
ENSG00000116171,6342,3742.827586,4323.75
ENSG00000174348,127435,3563.689655,393.6666667
ENSG00000157184,1376,715.6551724,900.2222222
ENSG00000143006,63948,0.034482759,0.111111111
ENSG00000211452,1733,2.310344828,18.33333333
ENSG00000116212,115353,627.3448276,956.4166667
ENSG00000116205,127428,242.3103448,346.3333333
ENSG00000116221,51253,1135.793103,1894.083333
ENSG00000162390,26027,1076.862069,1014.972222
ENSG00000184313,374977,583.6551724,259.3611111
ENSG00000243725,7268,20.89655172,26.63888889
ENSG00000162398,163747,3.931034483,6.027777778
ENSG00000143001,199964,25.17241379,29
ENSG00000162399,7809,0.75862069,3.777777778
ENSG00000169174,255738,23.4137931,185.2222222
ENSG00000162409,5563,289.7586207,139.2222222
ENSG00000157131,731,0.275862069,0.361111111
ENSG00000172456,55277,404.5862069,359.8611111
ENSG00000134709,51361,364.2758621,976.4166667
ENSG00000162599,4774,4013.37931,1134.027778
ENSG00000132849,10207,2276.310345,3166.194444
ENSG00000240563,54596,18.10344828,5.638888889
ENSG00000162607,7398,1539.931034,2032.444444
ENSG00000132855,27329,0.24137931,0.055555556
ENSG00000125703,84938,422.4482759,382.7222222
ENSG00000187140,27022,52.37931034,2.305555556
ENSG00000088035,29929,472.7931034,659.5555556
ENSG00000203965,84455,254.3103448,333.8333333
ENSG00000079739,5236,1454.034483,1472.027778
ENSG00000185483,4919,382.2758621,65.91666667
ENSG00000177414,148581,0.24137931,0.861111111
ENSG00000158966,57685,666.4827586,323.8611111
ENSG00000162437,55225,607.3103448,630.0833333
ENSG00000162433,205,724.8965517,770.2777778
ENSG00000116675,9829,53.37931034,104.7222222
ENSG00000213625,54741,3418.275862,3124.444444
ENSG00000116678,3953,744.6206897,286.2222222
ENSG00000184588,5142,1313.931034,386.9444444
ENSG00000118473,84251,225.2413793,257.1111111
ENSG00000152760,200132,65.62068966,21.94444444
ENSG00000198160,57708,1775.413793,1675.25
ENSG00000162594,149233,15.13793103,5.805555556
ENSG00000081985,3595,60.44827586,78.41666667
ENSG00000116717,1647,2382.965517,1805.833333
ENSG00000033122,57554,27.44827586,6.861111111
ENSG00000229359,5301,0.034482759,0.111111111
ENSG00000116754,9295,8848.689655,10214.08333
ENSG00000197568,11147,113.5517241,142.4444444
ENSG00000116761,1491,69.68965517,87.61111111
ENSG00000254685,8790,287.8275862,416.8055556
ENSG00000259030,100526835,36.96551724,28.97222222
ENSG00000116783,51086,3.655172414,3
ENSG00000162623,127253,803.8275862,740.1666667
ENSG00000162624,431707,8.862068966,2
ENSG00000117054,34,1577.793103,1846.972222
ENSG00000137955,5876,1491.413793,2093.277778
ENSG00000201487,26804,0,0
ENSG00000057468,4438,6.551724138,8.083333333
ENSG00000184005,256435,182.5172414,47.97222222
ENSG00000117069,81849,202.2413793,65.11111111
ENSG00000154027,26289,44.48275862,42.25
ENSG00000180488,374986,560.4827586,655.9722222
ENSG00000162614,91624,3174.931034,449.0833333
ENSG00000162616,11080,1482.724138,628.4444444
ENSG00000137960,54810,250.0689655,238.4444444
ENSG00000122420,5737,539.4137931,59.33333333
ENSG00000137959,10964,1537.931034,2183.944444
ENSG00000137965,10561,1738.344828,2647.805556
ENSG00000117114,23266,1118.724138,1037.222222
ENSG00000142875,5567,1903.758621,1148.083333
ENSG00000203943,148418,45.4137931,74.27777778
ENSG00000137976,58511,1.310344828,3.361111111
ENSG00000117133,80135,1075.655172,1444.305556
ENSG00000162643,126820,13.89655172,14.05555556
ENSG00000142871,3491,21071.24138,3336.361111
ENSG00000137975,9635,1948.172414,3696.25
