Gene ID,Control,Cancer
ENSG00000006074,504.9310345,611.1111111
ENSG00000006075,249.5172414,257.2222222
ENSG00000006114,1870,2132.583333
ENSG00000006116,0.172413793,10.11111111
ENSG00000006118,570.9310345,1797.305556
ENSG00000006125,4115.37931,4196.944444
ENSG00000006128,31.4137931,59.36111111
ENSG00000006194,1007.37931,1036.527778
ENSG00000006210,1860.310345,710.3888889
ENSG00000006282,2115.586207,2015.833333
ENSG00000006283,27.86206897,10.63888889
ENSG00000006327,2085.482759,1728.166667
ENSG00000006377,29.4137931,122.8055556
ENSG00000006432,252.6551724,500.3055556
ENSG00000006451,1189.551724,1829.888889
ENSG00000006453,2061.517241,2815.611111
ENSG00000006459,1087.655172,1126.638889
ENSG00000006468,375.3793103,280.9166667
ENSG00000006530,598.3448276,805.75
ENSG00000006534,684.2413793,615.8888889
ENSG00000006555,505.7241379,864.0277778
ENSG00000006576,1183.241379,1277.388889
ENSG00000006606,13,11
ENSG00000006607,849.2758621,744.25
ENSG00000006611,36.24137931,63
ENSG00000006625,1253.62069,2678
ENSG00000006634,377.3793103,662.4722222
ENSG00000006638,84.75862069,29.58333333
ENSG00000006652,1218.62069,1274.166667
ENSG00000006659,0.206896552,0.305555556
ENSG00000006695,360.137931,378.7222222
ENSG00000006704,845.9655172,2034
ENSG00000006712,1838.655172,1873.583333
ENSG00000006715,1634.655172,1950.916667
ENSG00000006740,385.6206897,222.2777778
ENSG00000006744,1508.551724,1622.861111
ENSG00000006747,549.5172414,956.4166667
ENSG00000006756,2258.517241,2334.111111
ENSG00000006757,252.8275862,315.7222222
ENSG00000006788,10.20689655,1.75
ENSG00000006831,1410.068966,1846.444444
ENSG00000006837,131,131.9444444
ENSG00000007001,3.689655172,4.083333333
ENSG00000007038,32.13793103,168.1944444
ENSG00000007047,1265.103448,1418.472222
ENSG00000007062,624.862069,544.5833333
ENSG00000007080,1120.827586,1510.055556
ENSG00000007129,77.72413793,26.97222222
ENSG00000007168,3867.793103,3466.055556
ENSG00000007171,96.34482759,212.5555556
ENSG00000007174,10.93103448,2.444444444
ENSG00000007202,4007.137931,4644.472222
ENSG00000007216,8.379310345,1.888888889
ENSG00000007237,2090,319.8888889
ENSG00000007255,475.9310345,637.75
ENSG00000007264,150.3448276,89.30555556
ENSG00000007306,3008.931034,546.3055556
ENSG00000007312,476.1034483,63.69444444
ENSG00000007314,28.44827586,18.75
ENSG00000007341,443.6206897,478.2222222
ENSG00000007350,11.4137931,8.277777778
ENSG00000007372,11.96551724,43.69444444
ENSG00000007376,460.6206897,586.9166667
ENSG00000007384,1407.103448,1139.083333
ENSG00000007392,2496.724138,2831.277778
ENSG00000007402,93.55172414,79.02777778
ENSG00000007516,369.4827586,620.25
ENSG00000007520,1097.448276,1266.083333
ENSG00000007541,965.5862069,1075.416667
ENSG00000007545,632.1034483,698.8333333
ENSG00000007866,2571.517241,2574.361111
ENSG00000007908,3155.62069,808.5277778
ENSG00000007923,1475.655172,2061.305556
ENSG00000007933,48.31034483,250.25
ENSG00000007944,1300.448276,1746.972222
