ID Ref,Amoeboid,Early Culminant,Fruiting Body,Loose Aggregate,Mound,Slug,Streaming,Starvation,^10 Amoeboid,^10 Early Culminant,^10 Fruiting Body,^10 Loose Aggregate,^10 Mound,^10 Slug,^10 Streaming,^10 Starvation,Mean Value
21,7.9946117,7.668024,7.152208,7.715744,4.8200307,5.225443,8.16673,7.622116,1066531651,702804664.1,350268724.5,747787322.1,6768587.441,15178580.12,1319720541,661843852.9,608862990.3
22,5.372104,4.366427,4.3639903,4.194269,4.285939,4.692768,4.2146893,4.929301,20019080.09,2519196.465,2505173.251,1684856.065,2091509.57,5179535.833,1768705.99,8469414.434,5529683.962
23,5.309221,6.6609325,6.78825,4.5757904,4.2844844,4.6300187,5.5489554,4.312517,17795411.51,171929470.9,207767819.9,4024030.17,2084422.051,4527176.752,27676574.8,2224888.242,54753724.29
24,7.151732,6.9799805,7.634353,8.2870035,7.5740943,7.0984488,8.746676,6.934738,350035680.4,274499838.5,672546584.4,1527478910,621308191.2,324813852,2620778963,257217538.1,831084944.8
25,13.257956,12.371152,12.492002,12.1021805,13.169329,12.496291,12.84715,14.052371,1.6779E+11,83965606545,92538072857,67396331850,1.56905E+11,92856284118,1.22481E+11,3.00259E+11,1.35524E+11
26,5.047984,4.278724,4.600592,5.740205,4.5336366,4.0981555,5.0031867,5.1068897,10744338.87,2056566.377,4247537.277,38839535.41,3668318.677,1336239.581,9828044.045,12066040.52,10348327.59
27,5.012025,5.3369126,4.360341,5.293357,4.2957983,4.412097,4.655514,4.602323,10003046.46,18745667.36,2484302.895,17270775.99,2140123.412,2795442.209,4782735.568,4263545.974,7810704.984
28,6.22731,5.8336873,4.4762926,6.28582,4.353219,4.588566,6.0836167,4.49989,87701063.03,45649020.32,3229867.239,96298473.88,2444022.277,4137803.17,69441394.55,3404230.634,39038234.39
29,11.362065,10.653965,10.071509,10.071509,11.695894,10.127645,9.52021,9.784355,35856896247,18841377768,10738545252,10738545252,47899859128,11352321921,6115969107,8041221324,18698092000
30,4.889429,4.2619305,4.9236417,5.7092795,4.2753096,4.0494504,5.2642736,6.472778,7808748.592,1977259.329,8372678.442,36797053.64,2040213.89,1185661.829,16344985.05,129094316,25452614.59
31,9.729159,9.053748,7.822691,8.424174,8.0209675,8.328579,9.312348,9.338502,7598939899,3700701215,858147136.1,1800003235,1102218171,1605865232,4904468740,5043966126,3326788719
32,4.827504,6.127748,4.8210244,5.253433,4.3003435,4.00492,5.4911213,6.23958,6874267.422,74646417.4,6782554.548,16011498.47,2162875.258,1061545.107,24923577.16,89444486.14,27738402.69
33,4.805159,11.113317,10.989536,11.674384,12.852783,11.03378,4.767282,4.5980754,6562625.595,28736708650,25691742488,47026184404,1.23019E+11,26745037065,6063291.193,4224359.655,31404424764
34,12.253085,11.049997,11.178461,10.754572,12.077478,11.688107,11.301045,11.919648,76287689604,27140734781,30466331245,20698139725,66033231429,47581900818,33977079205,57894099623,45009900804
35,4.753065,4.34961,4.359134,4.1125894,4.266204,3.9202867,4.1688066,4.2223954,5884878.961,2423835.738,2477434.577,1384055.54,1997175.297,857389.759,1585321.966,1801312.229,2301425.508
36,6.57844,6.8606124,5.8023143,5.707175,6.335064,7.9340696,5.5971236,6.9825945,151785113.5,231008967.7,43252627.98,36661640.62,104114224.1,988462184.4,30175117.81,275529573.5,232623681.2
37,5.0689435,6.460093,6.274958,6.167927,5.996267,10.128702,7.354489,7.39578,11198877.77,126586590.2,94647300.82,79687875.79,60091027.13,11364175655,462940341.1,489598229.4,1586115737
38,4.687566,6.508582,4.545051,8.358965,9.110997,10.323109,4.222946,4.5271716,5122405.505,136415527.9,3761729.891,1665424955,3941477361,13743746309,1803662.517,3616342.581,2437671037
39,5.2526827,4.2715764,4.6360497,4.486192,4.259759,9.20602,4.247966,4.5827417,15988645.4,2022468.584,4586494.013,3302011.381,1967208.044,4372392499,1913420.051,4085580.718,550782290.9
40,10.140026,9.746062,9.400115,8.48302,7.9430666,9.52021,7.705235,8.762807,11491869504,7731997383,5386810121,1929767150,999728423.5,6115969107,737664505.7,2669515612,4632915226
41,9.383011,8.514672,7.093502,7.4382052,5.8447456,8.567429,7.4139876,9.550581,5289592969,2002992063,322557359.5,518419766.4,46521758.97,2130615785,501786015.2,6313903247,2140798621
