MGI ID,mRNA copy number average [molecules/cell],mRNA half-life average [h],transcription rate (vsr) average [molecules/(cell*h)]
MGI:1919668,6.17,9.31,0.59
MGI:1915814;MGI:1915814,9.99,3.44,2.2
MGI:1333879,15.9,22.07,0.85
MGI:98443,15.34,10.61,1.32
MGI:3710243,NA,NA,NA
MGI:105124,73.84,16.96,4.61
MGI:2444777;MGI:2444777,13.15,8.21,1.37
MGI:108426;MGI:108426,7.83,7.18,0.91
MGI:1098791,3.58,3.44,0.94
MGI:106911;MGI:106911,NA,6.73,NA
MGI:1921358,NA,NA,NA
MGI:2429770;MGI:2429770,16.54,6.07,2.21
MGI:1928676,37.19,8.47,4.29
MGI:1344387;MGI:1344387,10.08,7.91,1.09
MGI:1913921,9.42,14.99,0.64
MGI:1915408;MGI:1915408;MGI:1915408,35.2,16.4,2.25
MGI:1931881;MGI:1931881,28.87,6.41,3.69
MGI:1917933,15.71,12.88,1.17
MGI:1913762,7.49,12.28,0.58
MGI:1316717;MGI:1316717,68.53,5.59,9.83
MGI:1920428,10.92,5.62,1.56
MGI:2137226,18.93,6.39,2.43
MGI:1916724,25.45,4.26,4.63
MGI:1922833,49.8,9.12,4.8
MGI:1913737,NA,NA,NA
MGI:108080,210.03,16.38,13.35
MGI:1921361;MGI:1921361,15.28,16.24,0.98
MGI:1355326,15.68,13.04,1.16
MGI:1330812;MGI:1330812;MGI:1330812;MGI:1330812,12.99,10.84,1.1
MGI:1353449,8.06,9.78,0.74
MGI:88353;MGI:88353,NA,10.19,NA
MGI:1919891,NA,5.46,NA
MGI:1919129,27.52,19.91,1.55
MGI:1927170;MGI:1927170,17.22,5.66,2.45
MGI:107738;MGI:107738,13.66,7.37,1.56
MGI:892003;MGI:892003;MGI:892003,16.23,12.47,1.24
MGI:1917701;MGI:1917701,9.61,5.37,1.43
MGI:2445121,13.14,5.36,1.96
MGI:1917583,16.91,5.17,2.59
MGI:1858415;MGI:1858415;MGI:1858415,14.26,4.7,2.38
MGI:1914176;MGI:1914176,20.05,9.37,1.89
MGI:1915147;MGI:1915147;MGI:1915147,4.72,9.34,0.45
MGI:1914556;MGI:1914556,5.31,5.04,0.83
MGI:1915240,NA,NA,NA
MGI:98179,16.03,10.17,1.42
MGI:99537;MGI:99537;MGI:99537;MGI:99537;MGI:99537;MGI:99537,NA,3.72,NA
MGI:1916330;MGI:1916330,17.33,11,1.46
MGI:1931749;MGI:1931749;MGI:1931749,16.08,4.89,2.59
MGI:1930187;MGI:1930187,164.2,16.35,10.45
MGI:1100865;MGI:1913954;MGI:1100865,6.35,5.82,0.88
MGI:101816,NA,11.56,NA
MGI:107789,60.35,10.06,5.4
MGI:3577015,27.54,8.61,3.86
MGI:1914961,34.91,13.21,2.57
MGI:1914249,7.92,25.39,0.39
MGI:1342335;MGI:1342335;MGI:1342335,NA,NA,NA
MGI:1921850,15.55,4.47,2.71
MGI:2138828,NA,12.69,NA
MGI:1920501,13.34,8.78,1.32
MGI:3047787;MGI:3047787,NA,6.27,NA
MGI:1890156,NA,NA,NA
MGI:1861601,11.02,12.87,0.83
MGI:1342770;MGI:1342770,20.27,9.15,1.95
MGI:1890496;MGI:1890496,16.71,11.69,1.34
MGI:88263,18.16,16.52,1.15
MGI:104709;MGI:104709;MGI:104709,25.43,11.04,2.12
MGI:1919083,26.86,13.3,1.96
MGI:107265;MGI:107265,15.58,18.26,0.92
MGI:1891258;MGI:1891258,13.77,8.33,1.62
MGI:99448,4.07,4.14,0.39
MGI:99851,22.79,7.92,2.45
MGI:2142951,9.33,6.29,1.21
MGI:107168;MGI:107168,15.35,6.72,1.89
MGI:1915282,45.34,12.16,3.53
MGI:98353;MGI:98353;MGI:98353,42.67,8.01,4.55
MGI:2153207;MGI:2153207;MGI:2153207;MGI:2153207,7.8,17.86,0.47
MGI:1890614;MGI:1890614,12.2,7.24,1.41
MGI:1914758;MGI:1914758,4.78,17.45,0.3
MGI:1346319;MGI:1346319,54.4,7.54,6.09
MGI:2149821;MGI:2149821,4.43,11.84,0.35
MGI:1916944;MGI:1916944,4.41,4.79,0.88
MGI:1919686,NA,21.4,NA
MGI:1919279,19.24,14.43,1.33
MGI:1353554,93.65,14.92,7.1
MGI:1277124,17.84,20.11,1.27
MGI:1916418,3.67,9.47,0.34
MGI:1917789,NA,NA,NA
MGI:1917278;MGI:1917278,NA,NA,NA
MGI:1351622,25.16,12.72,1.9
MGI:1261797,11.09,8.47,1.13
MGI:2442356,35.87,11.56,2.9
MGI:1276106;MGI:1276106,14.82,8.83,1.46
MGI:1917206,30.2,6.92,3.62
MGI:1913692;MGI:1913692;MGI:1913692;MGI:1913692,7.81,5.24,1.19
MGI:98086;MGI:98086,69.24,13.96,4.9
MGI:1923831,23.57,10.43,2.06
MGI:1916192,11.07,9.35,1.05
MGI:1891823,32.38,8.37,3.33
MGI:1922664;MGI:1922664;MGI:1922664;MGI:1922664,23.46,2.21,7.77
MGI:1919391;MGI:1919391;MGI:1919391,9.25,6.05,1.24
MGI:1916411;MGI:1916411,26.32,9.14,2.53
MGI:1914689,21.38,8.61,2.15
MGI:1341112,7.88,5.7,1.26
,NA,NA,NA
MGI:1922919,5.84,12.02,0.46
MGI:109583,NA,NA,NA
MGI:1914472,9.45,2.8,2.52
MGI:1913224,5.86,6.33,0.76
MGI:2445221,21.15,26.6,1.01
MGI:1333820,53.08,11.02,5.48
MGI:1914782,NA,NA,NA
MGI:1931010,8.31,12.67,0.63
MGI:104873,10.49,14.62,0.73
MGI:2182799;MGI:2182799;MGI:2182799;MGI:2182799;MGI:2182799,32.12,6.55,4.03
MGI:1913427,12.69,16.31,0.81
MGI:106417,24.58,8.15,2.59
MGI:1913612;MGI:1913612,20.99,4.69,3.5
MGI:1929658,13.67,4.75,2.26
MGI:2143994,19.49,21.54,1.05
MGI:1917338;MGI:1917338,12.37,4.77,2.03
MGI:1924182,14.03,11.6,1.13
MGI:106621,17.19,7.76,1.9
MGI:2385207;MGI:2385207,31.13,8.93,3.08
MGI:1921364,11.06,10.28,0.98
MGI:2388651,10.92,6.29,1.42
MGI:2446249;MGI:2446249,14.69,9.39,1.38
MGI:98240;MGI:98240;MGI:1353437;MGI:98239;MGI:2670997;MGI:1353437,54.14,9.29,5.14
MGI:2442418,NA,17.08,NA
MGI:1927224,14.15,5.02,2.22
MGI:1914631;MGI:1914631,11.54,4.41,2.04
MGI:1861099;MGI:1861099;MGI:1861099,11.24,8.99,1.1
MGI:1341200,21.75,7.51,2.45
MGI:2144831,NA,NA,NA
MGI:1913208;MGI:1913208,36.02,13.27,2.64
MGI:2144113,17.85,5.42,2.63
MGI:97566;MGI:97566,3.48,10.97,0.31
MGI:1927340;MGI:1927340,28.33,9.15,2.72
MGI:1914050,NA,NA,NA
MGI:1917118,19.72,7.76,2.16
MGI:1914476;MGI:1914476,8.67,10.76,0.74
MGI:1933403;MGI:1933403,10.16,18.73,0.59
MGI:1918248;MGI:1918248,8.92,9.49,0.84
MGI:1917036;MGI:1917036,12.8,6.06,1.71
MGI:1914131,16.37,15.83,1.07
MGI:95606,27.21,10.74,2.33
MGI:1917535,25.35,4.24,4.62
MGI:1350930,7.55,5.83,1.05
MGI:1918305;MGI:1918305;MGI:1918305;MGI:1918305,12.12,8.84,1.23
MGI:2677849;MGI:2677849,4.59,15.8,0.3
MGI:96828,37.05,37.54,1.52
MGI:1920442,22.47,13.75,1.6
MGI:1915111,3.66,4.1,0.69
MGI:1917560;MGI:1917560,13.04,12.89,0.97
MGI:1928483;MGI:1928483,17.64,5.69,2.5
MGI:1858416;MGI:1858416,6.87,14.04,0.52
MGI:2178598;MGI:2178598;MGI:2178598,4.82,8.13,0.54
MGI:1913353,NA,NA,NA
MGI:2384297;MGI:2384297;MGI:2384297;MGI:2384297,41.77,10.35,3.66
,NA,NA,NA
MGI:1923485;MGI:1923485,2.26,13.26,0.17
MGI:1923001;MGI:1923001,21.32,10.46,1.85
MGI:2154239;MGI:2154239,NA,25.82,NA
MGI:1927167;MGI:1927167;MGI:1927167;MGI:1927167;MGI:1927167,NA,NA,NA
MGI:1916023;MGI:1916023,16.42,6.46,2.09
MGI:1926245,14.28,8.31,1.48
MGI:96911,NA,NA,NA
MGI:2446193,28.67,8.75,2.86
MGI:1915526;MGI:1915526,14.25,4.91,2.28
MGI:1338882,3.09,7.44,0.35
MGI:1913843;MGI:1913843;MGI:1913843,16.79,15.64,1.1
MGI:1929230,9.07,5.26,1.37
MGI:109584;MGI:109584,15.43,6.79,1.89
MGI:96270;MGI:96270;MGI:96270;MGI:96270,14.84,7.53,1.66
MGI:97388;MGI:97388,52.33,32.69,2.28
MGI:2387123,5.22,7.05,0.62
MGI:1923173,33.5,5.54,4.87
MGI:2145374,NA,15.54,NA
MGI:103560,11.67,6,1.58
MGI:2442572;MGI:2442572,10.98,7.75,1.2
MGI:1890602,NA,NA,NA
MGI:108025;MGI:108025,23,10.43,2
MGI:107926;MGI:107926,14.78,11.28,1.22
MGI:1933169,NA,8.29,NA
MGI:1891808;MGI:1891808,NA,6.59,NA
MGI:2443191,5.54,9.84,0.5
MGI:1349473;MGI:1349473,7.76,9.47,0.73
MGI:1926078,9.11,10.76,0.77
MGI:109279;MGI:109279;MGI:109279;MGI:109279,NA,37.18,NA
MGI:103008;MGI:103008;MGI:103008;MGI:103008;MGI:103008;MGI:103008;MGI:103008;MGI:103008;MGI:103008,16.49,16.37,1.05
MGI:1922946;MGI:1922946,NA,13.34,NA
MGI:1098236;MGI:1098236;MGI:1098236;MGI:1098236;MGI:1098236;MGI:1098236;MGI:1098236,24.71,16.79,1.55
MGI:1915026,5.65,19.5,0.32
MGI:103309;MGI:103309;MGI:103309;MGI:103309;MGI:103309,30.55,17.22,1.88
MGI:1913328;MGI:1913328,20.12,11.88,1.6
MGI:2182303,21.26,7.78,2.93
MGI:1919769,10.59,9.1,1.02
MGI:1861602;MGI:1861602;MGI:1861602;MGI:1861602,NA,5.06,NA
MGI:1917431;MGI:1917431,NA,5.26,NA
MGI:1919637,14.2,8.03,1.51
MGI:1919315,9.6,9.31,0.91
MGI:1346320,70.4,13.93,4.96
MGI:108295;MGI:108295,19.56,8.1,2.09
MGI:1855694,NA,10.24,NA
MGI:1924841,12.94,14.32,0.92
MGI:1922721,NA,NA,NA
MGI:1918928,NA,NA,NA
MGI:101765,8.67,11.13,0.72
MGI:1309481,NA,NA,NA
MGI:1354713;MGI:1354713,20.36,9.38,1.92
MGI:1919094;MGI:1919094;MGI:1919094;MGI:1919094,12.89,5.11,2
MGI:1316706;MGI:1316706,13.95,13.1,1.03
MGI:2687325;MGI:2687325,21.49,21.85,1.14
MGI:1916942,16.06,11.11,1.35
MGI:1929022;MGI:1929022;MGI:1929022,6.88,13.46,0.5
MGI:1919205,14.25,4.96,2.27
MGI:2143230;MGI:2143230,34.86,8.53,3.54
MGI:1309481,22.73,12.77,1.71
MGI:1919822;MGI:1919822,NA,6.03,NA
MGI:1929472;MGI:1929472;MGI:1929472;MGI:1929472,11.52,6.66,1.43
MGI:1277223;MGI:1277223;MGI:1277223,11.78,8.86,1.16
MGI:1201686;MGI:1201686,25.09,7.23,2.91
MGI:1891751,25.39,7.89,2.75
MGI:1915293,15.14,10.87,1.28
MGI:1202298;MGI:1202298;MGI:1202298,18.52,6.37,2.38
MGI:1916417;MGI:1916417,2.47,4.59,0.42
MGI:2146855,4.36,6.04,0.59
MGI:1913361,37.93,15.21,2.53
MGI:1923698;MGI:1923698,22.76,4.44,4
MGI:104558;MGI:104558;MGI:104558,9.21,12.2,0.72
MGI:2443300;MGI:2443300;MGI:2443300;MGI:2443300,8,10.69,0.69
MGI:1352452;MGI:1352451;MGI:1352451,15.57,4.1,2.93
,NA,NA,NA
MGI:105098;MGI:105098;MGI:105098,11.32,4.89,1.82
MGI:1919605,NA,8.15,NA
MGI:1914356;MGI:1914356,NA,NA,NA
MGI:1346084,2.65,14.73,0.23
MGI:1344413,12.6,6.03,1.69
MGI:1923987,NA,15.13,NA
MGI:106463;MGI:106463,15.11,12.88,1.13
MGI:104683,20.98,11.33,1.72
MGI:1915455,12.78,10.74,1.09
MGI:2676368,14.1,16.06,0.91
MGI:1916349,NA,NA,NA
MGI:99926,NA,NA,NA
MGI:1859016,6.56,6.99,0.68
MGI:97891;MGI:97891;MGI:97891,24.23,11.51,1.96
MGI:1916913,8.6,9.86,0.9
MGI:1889073,NA,NA,NA
MGI:1098231,10.1,6.73,1.24
MGI:1915681,7.77,7.28,0.89
MGI:1926163,8.84,10.7,0.76
MGI:1919746;MGI:1919746,17.67,12.04,1.38
MGI:1276108,13.47,10.32,1.18
,13.03,6.67,1.61
MGI:1917483,13.8,6.3,1.79
MGI:109175;MGI:109175;MGI:109175;MGI:109175;MGI:109175,18.59,8.11,1.96
MGI:1929212;MGI:1929212,2.76,10.56,0.31
MGI:1930079,30.68,12.64,2.32
MGI:1919349;MGI:1919349,5.91,7.4,0.67
MGI:109496;MGI:109496,44.56,18.33,2.64
MGI:1920462,14.89,12.35,1.16
MGI:1922063,22.99,12.71,1.74
MGI:1289265;MGI:1289265,NA,13,NA
MGI:1194490;MGI:1194490;MGI:1194490,7.33,15.25,0.49
MGI:1349165,29.06,20.69,1.6
MGI:1919443;MGI:1919443,NA,10.85,NA
MGI:2444232,19.24,9.75,1.76
MGI:2146207,23.1,10.91,1.94
MGI:1334459;MGI:1334459;MGI:1334459,12.43,6.08,1.68
MGI:2446190,23.37,16.31,1.49
MGI:1915119,25.89,6.55,3.25
MGI:1100512;MGI:1100512,10.12,8.09,1.07
MGI:1277117,43.12,13.21,3.17
MGI:1933289;MGI:1933289;MGI:1933289,14.78,6.15,1.96
MGI:1916847,15.49,10.85,1.5
MGI:2138080,NA,7.02,NA
MGI:1309478,NA,NA,NA
MGI:1095417;MGI:95863;MGI:1095417;MGI:3704339;MGI:95863,NA,NA,NA
MGI:1913625,9.78,19.81,0.56
MGI:2384567,1.91,9.31,0.18
MGI:95278;MGI:95278,38.53,5.1,5.98
MGI:1289231,56.41,11.38,4.62
MGI:1859328;MGI:1859328;MGI:1859328,18.53,14.7,1.26
MGI:96910,15.35,7.1,1.8
MGI:1920081;MGI:1920081;MGI:1920081,23.85,9.54,2.22
MGI:101919;MGI:101919,17.17,6.01,2.32
MGI:1925371,19.31,9.18,1.89
MGI:101857;MGI:101857;MGI:101857,21.92,13.49,1.6
MGI:1913449,28.4,8.86,2.8
MGI:2147427;MGI:2147427,36.64,6.5,4.63
MGI:1289298;MGI:1289298;MGI:3711854;MGI:1289298;MGI:3711854,9.15,12.22,0.72
MGI:1916974;MGI:1916974,12.58,12.63,0.95
MGI:1858210;MGI:1858210,4.87,9.94,0.44
MGI:105313,NA,NA,NA
MGI:1919752;MGI:1919752,3.24,5.68,0.46
MGI:1916952,4.55,3.88,0.86
MGI:2140050,21.76,18.6,1.29
MGI:1355319,21.06,6.1,2.85
MGI:97852,20.79,8.5,2.12
MGI:1919522;MGI:1919522;MGI:1919522,7.48,10.19,0.86
MGI:2138584;MGI:2138584,7.88,7.48,0.89
MGI:1918084;MGI:1918084;MGI:1918084;MGI:1918084;MGI:1918084;MGI:1918084,12.46,12.81,0.93
MGI:105065,14.5,8.86,1.43
MGI:2146851,1.64,4.98,0.26
MGI:1914783;MGI:1914783;MGI:1914783,NA,11.46,NA
MGI:1915585;MGI:1915585,26.3,10.03,2.4
MGI:1202069;MGI:1098779,NA,10,4.41
MGI:2384902;MGI:2384902;MGI:2384902,7.87,13.49,0.48
MGI:1917329,13.8,15.41,0.92
MGI:2444228,7.99,7.9,0.86
,NA,NA,NA
MGI:104581,21.98,8.33,2.28
MGI:2140356;MGI:2140356;MGI:2140356,14.25,9.9,1.29
MGI:1915720,19.24,7.67,2.12
MGI:1916278,7.92,5.18,1.22
MGI:2153272,NA,15,NA
MGI:1932622,11.68,4.78,1.96
MGI:1933786;MGI:1933786;MGI:1933786,13.21,10.24,1.17
MGI:1916188;MGI:1916188;MGI:1916188,NA,10.14,NA
MGI:2146335,13.19,7.83,1.43
MGI:1927580;MGI:1927580,5.68,9.33,0.55
MGI:96958;MGI:96958,11,10.32,0.97
MGI:98752,170.06,15.75,11.12
MGI:1196274;MGI:1196274;MGI:1196274,26.95,9.04,2.61
MGI:1096317,NA,NA,NA
MGI:1338802,12.73,6.92,1.53
MGI:1316708,33.03,9.03,3.21
MGI:1920004;MGI:1920004;MGI:1920004;MGI:1920004;MGI:1920004;MGI:1920004,12.15,7.26,1.4
MGI:1097691;MGI:1097691,24.51,12.01,1.93
MGI:1926211,24.64,8.31,2.56
MGI:1346998,5.93,12.86,0.44
MGI:104900;MGI:104900;MGI:104900,34.92,10.46,3.03
MGI:1195276,NA,13.2,NA
MGI:107741;MGI:107741,16.57,4.63,2.8
MGI:1099447,5.84,10.1,0.53
MGI:1920961,14.75,13,1.1
MGI:1096399,NA,NA,NA
MGI:1889850,12.09,8.63,1.39
MGI:1913896;MGI:1913896,8,13.88,0.57
MGI:1913839;MGI:1913839,8.9,11.27,0.73
MGI:1914324;MGI:1914324,7.79,13.99,0.55
MGI:1197013;MGI:1197013,32.25,7.04,3.82
MGI:1913294;MGI:1913294,4.79,15.39,0.32
MGI:1919871,28.58,8.73,2.86
MGI:1923847,19.19,9.46,1.8
MGI:1923957;MGI:1923957,10.7,9.38,1.01
MGI:1888697,67.67,15.42,4.65
MGI:1352499;MGI:1352499;MGI:1352499,16.77,14.38,1.18
MGI:1100818,17.13,7.15,2
MGI:2151221,29.8,9.05,2.89
MGI:104665;MGI:104665,16.83,10.79,1.43
MGI:1914872;MGI:1914872,NA,11.53,NA
MGI:1926083,4.94,2.87,1.28
MGI:104627,NA,NA,NA
MGI:2137227,13.16,10.33,1.15
MGI:107734,19.96,13.94,1.41
MGI:95764;MGI:95764,27.41,18.74,1.6
MGI:1919247,13.15,8.43,1.35
MGI:1913429,NA,14.48,NA
MGI:2146901;MGI:2146901;MGI:2146901;MGI:2146901,16.36,6.89,1.97
MGI:1328313,NA,4.55,NA
MGI:2389572;MGI:2389572,3.69,10.96,0.31
MGI:1349478,13.59,8.33,1.4
MGI:1926269;MGI:1926269,26.02,8.81,2.57
MGI:1919289;MGI:1919289,5.28,16.06,0.41
MGI:1344426;MGI:1344426,8.43,21.45,0.45
MGI:1915080,NA,10.32,NA
MGI:1914668,8.82,5.25,1.34
MGI:95286;MGI:95286;MGI:95286,23.56,5.33,3.52
MGI:1914287;MGI:1914287;MGI:1914287,31.27,11.21,2.58
MGI:1349635,6.67,15.11,0.47
MGI:109573,1.37,14.78,0.09
MGI:1333757;MGI:1333757;MGI:1333757,7.05,6.6,0.88
MGI:1098687;MGI:1098687,4.26,11.92,0.34
MGI:2152453,29.24,9.33,2.77
MGI:96617;MGI:96617,25.93,9.15,2.5
MGI:1917271,41.03,18.37,2.43
MGI:1915984,10.32,3.81,2.08
MGI:1913917,2.09,8.43,0.22
MGI:1914317,44.43,13.71,3.2
MGI:2141969,7.59,9.69,0.7
MGI:108186;MGI:108186,6.71,22.05,0.43
MGI:1913819,4.09,13.56,0.37
MGI:2151013;MGI:2151013;MGI:2151013,5.35,9.99,0.48
MGI:1923988,26.51,9.94,2.45
MGI:88025;MGI:88025;MGI:88025,NA,NA,NA
MGI:97712;MGI:97712;MGI:97712,10.27,10.78,0.87
MGI:108047;MGI:108047,57.23,20.34,3.22
MGI:2442117;MGI:2442117,7.06,4.19,1.3
MGI:2151045;MGI:2151045,10.92,5.44,1.6
MGI:2667185;MGI:2667185;MGI:2667185;MGI:2667185,13.8,15.2,0.92
MGI:1916925,39.56,21.1,2.16
MGI:1344373;MGI:1344373,NA,7.93,NA
MGI:1914633,NA,NA,NA
MGI:1914273;MGI:1914273,16.49,12.69,1.25
MGI:2447166;MGI:2447166;MGI:2447166,NA,10.98,NA
MGI:3028576,14.38,11.1,1.2
MGI:2178563,5.14,14.25,0.36
MGI:1913863;MGI:1913863;MGI:1913863;MGI:1913863,NA,25.38,NA
MGI:2445001;MGI:2445001,12,11.12,1
MGI:1922967;MGI:1922967,7.77,9.4,0.73
MGI:1916737,2.67,12.66,0.2
,NA,NA,NA
MGI:2442551,3.16,7.54,0.35
MGI:1860487;MGI:1860487,57.02,11.48,4.62
MGI:1313266,14.77,26.88,0.71
MGI:2442858;MGI:2442858;MGI:2442858,16.12,9,1.57
MGI:1914294,23.15,12.78,1.75
MGI:1914907,2.6,4.68,0.43
MGI:1891456,27.98,4.63,4.72
MGI:1913309,155.21,16.61,10.03
MGI:1921272,26.01,9.92,2.35
MGI:98296;MGI:98296;MGI:98296,40.95,10.34,3.59
MGI:1914852,10.68,3.84,2.13
MGI:2385066,4.75,11.02,0.4
MGI:1914535,7.28,10.59,1.12
MGI:1913615;MGI:1913615,3.89,8.87,0.49
MGI:1915847;MGI:1915847;MGI:1915847,3.82,5.24,0.58
MGI:2384836,10.06,3.67,2.09
MGI:3712219;MGI:3712496;MGI:107573,NA,NA,NA
MGI:2442092;MGI:2442092;MGI:2442092,30.03,13.53,2.18
MGI:107412;MGI:2384997,21.35,9.18,2.05
MGI:104848,3.05,3.89,0.6
MGI:1289155,21.16,9.04,2.05
MGI:108412;MGI:108412,NA,11.1,NA
MGI:1916818;MGI:1916818,NA,NA,NA
MGI:2146388;MGI:2146388,3.49,5.8,0.49
MGI:2180561,5.62,9.05,0.55
MGI:1195461,NA,NA,NA
MGI:1932610,8.32,9.17,0.8
MGI:2443226,4.67,4.66,0.78
,24.52,11.9,1.94
MGI:1343485;MGI:1343485,6.67,11.12,0.55
MGI:1858303;MGI:1858303;MGI:1858303,29.47,7.36,3.36
MGI:1916043,NA,13.25,NA
MGI:1098826,4.62,10.58,0.4
MGI:1891689,31.81,9.04,3.1
MGI:2442058,5.69,9.63,0.61
MGI:2684913,20.43,9.65,1.89
MGI:1915017,17.23,6.73,2.12
MGI:1927086;MGI:1927086,17.66,13,1.31
MGI:3513266,9.01,4.8,1.48
MGI:2682639;MGI:2682639,6.19,7.22,0.72
MGI:107372;MGI:107372;MGI:107372,2.23,13.19,0.21
MGI:1921447;MGI:2139152,5.77,5,0.91
MGI:1353568,15.13,7.06,1.92
MGI:1354163;MGI:1354163,1.77,6.49,0.25
MGI:97281;MGI:97281;MGI:97281;MGI:97281,6.55,14.25,0.46
MGI:1346040;MGI:1346040;MGI:1346040;MGI:1346040,24.5,8.69,2.45
MGI:1914440;MGI:1914440;MGI:1914440;MGI:1914440;MGI:1914440,27.73,11.82,2.2
MGI:1917777,5.35,5.78,0.75
MGI:1277113,8.82,15.46,0.58
MGI:1923848;MGI:1923848;MGI:1923848,39.76,9.36,4.94
MGI:1921020,17.56,10.85,1.48
MGI:2442062,9.41,8.99,0.93
MGI:1922066,NA,NA,NA
MGI:96952;MGI:96952;MGI:96952,2599.59,3.2,610.52
MGI:1923547,18.32,4.13,3.42
MGI:3649546,2.43,8.3,0.37
MGI:1861607,13.32,14.66,0.91
MGI:1921347,15.5,4.47,2.7
MGI:1915294;MGI:1915294,2.04,3.14,0.49
MGI:104627,NA,NA,NA
MGI:96765;MGI:96765;MGI:96765,19.49,4.95,3.1
MGI:97740,7.27,5.22,1.11
MGI:87986;MGI:87986,85.72,15.99,5.54
MGI:1891698;MGI:1891698;MGI:1891698,6.89,6.6,0.86
MGI:1917903;MGI:1917903,8.16,8.2,0.85
MGI:1929705;MGI:1929705,NA,NA,NA
,NA,NA,NA
MGI:1924145;MGI:1924145;MGI:1924145,12.86,9.3,1.22
MGI:2442894;MGI:2442894,9.08,6.63,1.13
MGI:1914719;MGI:1914719,NA,13.41,NA
MGI:1931787,31.51,10.98,2.64
MGI:2443517;MGI:2443517,48.03,10.04,4.31
MGI:2685412,3.31,5.4,0.83
MGI:1914765,9.3,6.62,1.16
MGI:1891824,NA,NA,NA
MGI:97805,11.24,8.35,1.16
MGI:2139530;MGI:2139530,8.74,14.88,0.92
MGI:1321393;MGI:1321393;MGI:1321393;MGI:1321393;MGI:1321393,13.28,7.71,1.46
MGI:1914824,4.15,6.45,0.53
MGI:1923938,NA,6.45,NA
MGI:88077;MGI:88077,NA,18.21,NA
MGI:1913544,9.37,15.6,0.62
MGI:1919570;MGI:1919570,12.9,8.44,1.32
MGI:1915237;MGI:1915237,5.83,3.98,1.12
MGI:2147194;MGI:2147194;MGI:2147194,5.85,4.69,0.98
MGI:98447;MGI:98447,11.98,4.49,2.08
MGI:1916017,8.23,11.55,0.67
MGI:2385695,35.31,7.55,3.95
MGI:1915459,43.84,12.09,3.43
MGI:1350931,36.68,6.85,4.44
MGI:1203484;MGI:1203484;MGI:1203484;MGI:1203484;MGI:1203484,8.32,7.11,0.98
MGI:1916279,96.62,13.26,7.09
MGI:88276;MGI:88276,NA,10.86,NA
MGI:104513;MGI:104513,2.98,14.41,0.32
MGI:96243;MGI:96243,1.53,7.4,0.17
MGI:98810,52.11,16.5,3.34
MGI:2448375,NA,NA,NA
MGI:1931148,11.01,14.6,0.87
MGI:1914804,14.14,2.93,3.6
MGI:1289325,38.29,8.78,3.8
MGI:1330281,9.92,9.2,0.95
MGI:1918367;MGI:1918367,8.05,5.48,1.17
MGI:1932101;MGI:1932101;MGI:1932101,22.19,7.49,2.5
MGI:1929100;MGI:1929100,8.02,13.9,0.57
MGI:1919022;MGI:1919022,15.23,21.55,0.82
MGI:102519;MGI:102519,341.56,20.11,19.13
MGI:99960;MGI:99960;MGI:99960;MGI:99960,100.15,9.88,9.1
MGI:96247,NA,NA,NA
MGI:1931035;MGI:1931035,16.85,10.87,1.42
MGI:1913853,6.99,3.83,1.75
MGI:1933185;MGI:1933185;MGI:1933185,NA,NA,NA
MGI:99907,21.79,32.78,0.94
MGI:1270849;MGI:1270849,11.43,9.51,1.07
MGI:1309463,9.63,9.41,0.91
MGI:1861712,NA,4.67,NA
MGI:1289172;MGI:1289172,9.49,6.56,1.19
MGI:107563;MGI:107563;MGI:107563;MGI:107563;MGI:107563,20.16,4.01,3.88
MGI:1915843;MGI:1915843,9.43,9.38,0.89
MGI:109211;MGI:109211;MGI:109211,17.99,9.49,1.68
MGI:108069;MGI:108069,52.75,8.51,5.37
MGI:1926031;MGI:1926031;MGI:1926031,19.07,8.54,1.93
MGI:2673709,7.13,11.87,0.56
MGI:1918920,4.69,15.19,0.31
MGI:1919831,2.73,3.17,0.65
MGI:1098815;MGI:1098815,10.55,10.46,1.31
MGI:2685620,5.83,3.87,1.16
MGI:2446173,NA,NA,NA
MGI:2145900,18.37,4.34,3.3
MGI:1914954,21.36,7.68,2.36
MGI:2182585,8.46,7.48,0.95
MGI:1916344,13.78,17.78,0.99
MGI:1098727,32.43,9.29,3.09
MGI:99260;MGI:99260,14.73,9.05,1.43
MGI:95403;MGI:95403,8.68,14.64,0.6
MGI:1915269;MGI:1915269;MGI:1915269,15.93,8.73,1.59
MGI:1933623;MGI:1933623,NA,6.52,NA
MGI:2679008,11.58,7.63,1.28
MGI:1890471,36.32,9.52,3.39
MGI:1923747;MGI:1923747;MGI:1923747;MGI:1923747,25.99,18.68,1.53
MGI:1099800,53.49,11.47,3.99
MGI:1917207,29.97,9.23,2.86
MGI:1919732;MGI:1919732;MGI:1919732,17.2,14.44,1.19
MGI:1891700,20.95,13.78,1.49
MGI:1933277,2.48,5.06,0.39
MGI:1328306;MGI:1328306,18.13,8.34,2.38
MGI:95824;MGI:95824;MGI:95824;MGI:95824;MGI:95824,10.45,5.17,1.6
MGI:108051;MGI:108051,11.38,7.85,1.23
MGI:2158394,8.04,15.28,0.54
MGI:107157;MGI:107157;MGI:107157;MGI:107157;MGI:107157,13,6.93,1.56
MGI:2385089;MGI:2385089,6.18,4.22,1.14
MGI:2146468,6.12,5.32,0.87
MGI:1351331,28.16,9.17,2.7
MGI:2137520,17.16,14.36,1.19
