MGI ID,mRNA copy number average [molecules/cell],mRNA half-life average [h],transcription rate (vsr) average [molecules/(cell*h)]
MGI:1096367,51.71,15.58,4.78
MGI:893586,NA,12.27,17.07
MGI:2141861;MGI:2141861,82.98,15.47,5.47
MGI:1928750,68.1,11.61,5.48
MGI:2135637;MGI:2135637;MGI:2135637,54.25,16.66,4.43
MGI:1914923,121.05,12.91,9.05
MGI:1926232;MGI:1926232;MGI:1926232;MGI:1926232,37.08,9.73,3.4
,NA,NA,NA
MGI:88262;MGI:88262,129.52,13.52,9.37
MGI:104652;MGI:104652;MGI:104652;MGI:104652;MGI:104652,106.41,14.5,7.33
MGI:102690,100.74,9.63,9.32
MGI:106014,79.09,14.1,5.72
MGI:95851;MGI:95851,137.64,19.79,7.8
MGI:107846;MGI:107846;MGI:107846;MGI:107846;MGI:107846,153.21,10.1,13.74
MGI:88030;MGI:88030,37.66,16.85,3.36
MGI:1298381,69.18,14.72,4.72
MGI:104816,NA,NA,NA
MGI:1924384,56.2,13.71,4.02
MGI:104880,129.35,13.36,9.43
MGI:1914449;MGI:1914449,28.09,16.74,1.77
MGI:2387629;MGI:2387629;MGI:2387629;MGI:2387629,23.73,10.3,2.09
MGI:109194,65.04,9.42,6.12
MGI:1914152,45,11.38,3.67
MGI:1098259,116.74,13.77,8.37
MGI:2385271;MGI:2385271,54.22,16.75,3.4
MGI:1913391,NA,16.44,NA
MGI:88090,68.8,13.66,4.38
MGI:1914253,45.58,11.55,3.7
MGI:1913659,71.07,6.82,8.64
MGI:1923959,78.93,11.26,6.5
MGI:1929063,NA,13.25,NA
MGI:1929501,144.41,9.08,13.97
MGI:1350929,84.43,10.04,7.6
MGI:1346858;MGI:1346858,31.99,9.87,2.9
MGI:1345192;MGI:1345192,NA,16.8,NA
MGI:94890,9.29,13.75,0.67
MGI:1916231,36.19,10.8,3.09
MGI:1922090;MGI:1922090;MGI:1922090,32.4,26.78,1.6
MGI:1918929,114.96,16.75,7.25
,NA,NA,NA
MGI:87978;MGI:87978,53.57,7.69,5.91
MGI:1194513;MGI:1194513,46.32,9.91,4.2
MGI:1194910;MGI:1194910;MGI:1194910;MGI:1194910,104.45,11.72,8.36
MGI:1261855,55.32,14.11,3.88
MGI:1914384,147.48,5.09,22.92
MGI:106222,62.42,9.06,6.05
MGI:1921367,104.59,12.68,7.95
MGI:1270152,16.91,25.21,0.83
MGI:103071;MGI:103071,104.61,11.73,8.35
MGI:1926465;MGI:1926465,98.87,12.71,7.69
MGI:893579,59.22,14.35,4.11
MGI:95893;MGI:95893,24.61,6.9,2.96
MGI:97842,39.4,10.07,3.52
MGI:97394,39.94,14.12,2.8
MGI:95541,133.82,14.95,9.05
MGI:88061;MGI:88061,93.86,11.59,7.57
MGI:106247;MGI:106247;MGI:106247,107.64,12.33,8.31
MGI:1914304;MGI:1914304,74.18,14,5.24
MGI:1855693,49.24,13.25,3.61
MGI:1928344;MGI:1928344,37.47,9.29,3.56
MGI:1860494;MGI:1860494,82.23,8.24,8.58
MGI:105306;MGI:105306,78.91,13.13,5.83
MGI:1351465;MGI:1351465,76.76,7.52,8.63
MGI:1337100,149.2,12.34,11.55
MGI:1929955;MGI:1929955,181.39,16.33,11.55
MGI:1928760;MGI:1928760,62.74,14.58,4.32
MGI:1913284,62.91,10.68,5.38
MGI:1914454,29.01,10.43,2.53
MGI:1915385,329.16,18.53,19.45
MGI:1349392;MGI:1349392;MGI:1349392,38.42,12.52,2.93
MGI:103561,NA,NA,NA
MGI:1913989;MGI:1913989,41.99,6.86,5.08
MGI:1891917;MGI:1891917;MGI:1891917,59.25,15.62,3.88
MGI:1332247,7.18,6.96,0.86
MGI:95861,42.29,21.48,2.68
MGI:2147616,60.24,10.87,5.09
MGI:1913129;MGI:1913129,16.02,12.89,1.2
MGI:1919103,112.08,22.46,5.91
MGI:1351744;MGI:1351744,65.5,12.46,5.05
MGI:1928753,NA,11.85,NA
MGI:1855690,45.64,11.55,3.69
MGI:1329037,56.09,14.8,3.81
MGI:97775;MGI:97775;MGI:97775;MGI:97775,27.99,10.39,2.44
MGI:1099464;MGI:1099464,88.41,14.43,6.11
MGI:97850;MGI:97850;MGI:2139044;MGI:97850;MGI:2139044;MGI:2139044;MGI:2139044,97.36,14.92,6.6
MGI:1917171;MGI:3643578,NA,NA,NA
MGI:1926334,91.18,15.07,6.14
MGI:1913485,105.49,11.95,8.31
MGI:1346093;MGI:1346093,88.15,10.52,7.65
MGI:108089,NA,19.23,5.37
MGI:1859815,68.16,12.29,5.32
MGI:1915469,NA,10.14,4.03
MGI:1352754;MGI:1352754,45.51,8.85,4.52
MGI:1195456,NA,17.32,NA
MGI:95543,81.02,20.39,4.51
MGI:1353633,156.28,9.49,14.65
MGI:104811,12.2,20.9,0.67
MGI:2137706,150.69,13.77,10.8
MGI:1919292,72.05,15.16,4.94
MGI:98423;MGI:98423,51.6,8.69,5.25
MGI:87881,2.24,7.39,0.25
MGI:107876;MGI:107876,74.91,17.88,4.51
MGI:98890,158.22,22.43,8.31
MGI:99702,93.48,10.19,8.28
MGI:1858304,58.12,8.45,5.94
MGI:1915615;MGI:1915615,32.67,7.47,3.68
MGI:87871;MGI:109182;MGI:109182,25.24,11.63,2.42
MGI:1927558,NA,11.83,NA
MGI:98284;MGI:98284,NA,7.48,NA
MGI:88266,152.08,15.09,10.26
MGI:1914309;MGI:1914309,28.93,12.42,2.22
MGI:1917870;MGI:1917870;MGI:1917870,NA,NA,NA
MGI:106915,43.87,9.74,4.05
MGI:109263,27.05,11.8,2.15
MGI:1915031;MGI:1915031,39.71,9.51,3.71
MGI:98084,63.82,38.12,2.58
MGI:894297;MGI:894297,81,14.63,5.55
MGI:1913368,NA,9.61,NA
MGI:108117;MGI:108117,67.91,13.29,4.96
MGI:1339970;MGI:1339970;MGI:1339970;MGI:1339970;MGI:1339970,36.17,19.27,2.08
MGI:104807,77.6,14.42,5.36
MGI:102774,47.62,10.64,4.11
MGI:1923686;MGI:1923686,NA,20.23,3.03
MGI:1353653,17.08,17.22,1.05
MGI:894315,92.32,8.64,9.3
MGI:1298388,26.23,10.67,2.24
MGI:103123;MGI:103123,73.19,11.73,5.84
MGI:1891690,40.46,8.32,4.19
MGI:1914339,52.05,8.23,5.43
MGI:105047;MGI:105047,131.42,10.55,11.35
MGI:1928375,82.85,13.2,6.1
MGI:1338759,22.03,8.29,2.29
MGI:107169;MGI:107169,53.32,12.24,4.14
MGI:1860763;MGI:1860763,94.83,12.07,7.45
MGI:1196624;MGI:1196624,33.84,9.31,3.21
MGI:1915084;MGI:1915084,25.07,11.98,1.98
MGI:2183260;MGI:2183260;MGI:2183260;MGI:2183260,25.7,7.19,3
MGI:1342299,59.04,10.87,4.99
MGI:108177;MGI:108177,63.63,13.86,4.52
MGI:1276111,42.48,7.28,4.91
MGI:1194508;MGI:1194508,90.74,22.21,4.79
MGI:1913721;MGI:1913721,26.49,20.47,1.49
MGI:1917152;MGI:1917152,66.82,8.58,6.75
MGI:103202;MGI:103202,55.67,12.77,4.19
MGI:1914297,64.22,9.77,5.88
MGI:1334417,16.87,17.32,1.03
MGI:1914238;MGI:1914238,40.79,17.04,2.53
MGI:2449057,124.82,13.12,9.21
MGI:1858232,30.41,9.2,2.92
MGI:1335094;MGI:1335094,41.07,11,3.46
MGI:106314,96.95,11.95,7.65
MGI:95772;MGI:95772;MGI:95771,92.36,18.79,5.39
MGI:1858417,103.81,17.41,6.34
MGI:105979;MGI:105979,44.89,19.47,2.56
MGI:1927234,42.71,12.99,3.17
MGI:1354175;MGI:1354175,103.06,9.04,10.02
MGI:107450;MGI:107450,34.66,8.17,3.64
MGI:1923512;MGI:1923512,11.15,6.63,1.39
MGI:1933184,81.99,8.2,8.64
MGI:1914132,94.54,11.06,7.88
MGI:108278,76.76,11.61,6.2
MGI:1929264;MGI:1929264,64.73,9.47,6.06
MGI:1917473,71.2,12.74,5.37
MGI:1270129,5.01,11.31,0.41
MGI:1349450,50.27,22.27,2.66
MGI:107633,43.34,11.96,3.41
MGI:102964,28.84,14.78,1.96
MGI:1353495,140.25,8.5,14.27
